State,Scheme,Cycle,n_High,n_Medium,n_Low,p_High,p_Medium,p_Low,k_High,k_Medium,k_Low,OC_High,OC_Medium,OC_Low,pH_Alkaline,pH_Acidic,pH_Neutral,EC_NonSaline,EC_Saline,S_Sufficient,S_Deficient,Fe_Sufficient,Fe_Deficient,Zn_Sufficient,Zn_Deficient,Cu_Sufficient,Cu_Deficient,B_Sufficient,B_Deficient,Mn_Sufficient,Mn_Deficient
ANDAMAN & NICOBAR,,2023-24,0.17,27.98,71.85,0,29.14,70.86,0.17,11.26,88.58,0.17,2.32,97.52,0,4.3,95.7,90.56,9.44,0.83,99.17,99.83,0.17,80.13,19.87,92.88,7.12,99.83,0.17,99.83,0.17
ANDHRA PRADESH,,2023-24,3.74,23.8,72.47,49.52,32.59,17.89,63.76,27.5,8.73,22.23,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,94.55,5.45,74.68,25.32,89.47,10.53
ARUNACHAL PRADESH,,2023-24,28.82,54.69,16.5,20.65,70.81,8.54,22.32,66.02,11.65,47.93,37.15,14.92,0.09,38.54,61.37,90.32,9.68,69.41,30.59,92.19,7.81,80.96,19.04,95.96,4.04,76.24,23.76,70.65,29.35
ASSAM,,2023-24,24.9,75.04,0.06,83.21,16.7,0.1,6.32,70.91,22.77,46.78,38.36,14.86,0.02,45.82,54.17,99.96,0.04,99.95,0.05,100,0,93.66,6.34,100,0,0,100,79.05,20.95
BIHAR,,2023-24,0.66,38.27,61.07,75.38,22.4,2.21,24.41,71.31,4.29,15.63,52.51,31.86,2.3,2.08,95.62,99.04,0.96,78.65,21.35,92.94,7.06,76.28,23.72,98.38,1.62,65.34,34.66,93.07,6.93
CHHATTISGARH,,2023-24,0.36,22.37,77.27,9.65,65.82,24.53,40.73,55.27,4,14.2,34.55,51.26,0.46,6.8,92.74,98.92,1.08,61.86,38.14,89.11,10.89,51.1,48.9,95.91,4.09,77.45,22.55,97.34,2.66
GOA,,2023-24,25.04,45.72,29.24,36.94,18.6,44.46,37.28,41.17,21.55,76.05,7.48,16.47,0.13,46.91,52.96,92.49,7.51,63.96,36.04,98,2,76.54,23.46,98.33,1.67,59.85,40.15,94.68,5.32
GUJARAT,,2023-24,1.63,19.62,78.76,80.96,16.35,2.69,67.1,29.91,3,31.21,34.35,34.44,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,93.58,6.42,52.47,47.53,91.14,8.86
HARYANA,,2023-24,0.36,7.71,91.93,38.31,35.79,25.9,26.25,48.71,25.04,4.29,18.98,76.74,6.25,0.11,93.64,92.85,7.15,90.51,9.49,71.49,28.51,79.91,20.09,93.21,6.79,29.92,70.08,74.68,25.32
HIMACHAL PRADESH,,2023-24,1.07,46.78,52.15,26.75,60.92,12.32,35.97,49.92,14.1,73.54,18.82,7.64,0.06,1.07,98.88,99.87,0.13,92.61,7.39,95.39,4.61,94.84,5.16,99.23,0.77,99.24,0.76,86.77,13.23
